Name (English),Malay,Chinese,Pinyin,Tamil,Region,Area (km²),Population[7],Density (/km²)
Ang Mo Kio,,宏茂桥,Hóngmàoqiáo,ஆங் மோ கியோ,North-East,13.94,161000,13400
Bedok,*,勿洛,Wùluò,பிடோக்,East,21.69,278270,13000
Bishan,,碧山,Bìshān,பீஷான்,Central,7.62,85680,12000
Boon Lay,,文礼,Wénlǐ,பூன் லே,West,8.23,30,3.6
Bukit Batok,*,武吉巴督,Wǔjí Bādū,புக்கிட் பாத்தோக்,West,11.13,164560,14000
Bukit Merah,*,红山,Hóngshān,புக்கிட் மேரா,Central,14.34,149160,11000
Bukit Panjang,*,武吉班让,Wǔjí Bānràng,புக்கிட் பாஞ்சாங்,West,8.99,137020,15000
Bukit Timah,*,武吉知马,Wǔjí Zhīmǎ,புக்கிட் திமா,Central,17.53,79270,4400
Central Water Catchment,Kawasan Tadahan Air Tengah,中央集水区,Zhōngyāng Jíshuǐqū,மத்திய நீர் நீர்ப்பிடிப்பு,North,37.15,*,*
Changi,*,樟宜,Zhāngyí,சாங்கி,East,40.61,1810,80.62
Changi Bay,Teluk Changi,樟宜湾,Zhāngyí Wān,சாங்கி பே,East,1.7,*,*
Choa Chu Kang,,蔡厝港,Cài Cuògǎng,சுவா சூ காங்,West,6.11,189990,30000
Clementi,,金文泰,Jīnwéntài,கிளிமெண்டி,West,9.49,93500,9800
Downtown Core,Pusat Bandar,市中心,Shìzhōngxīn,சிங்கப்பூர் நகர மையத்தில்,Central,4.34,4000,680
Geylang,*,芽笼,Yálóng,கேலாங்,Central,9.64,109150,11400
Hougang,,后港,Hòugǎng,ஹவ்காங்,North-East,13.93,226990,16000
Jurong East,Jurong Timur,裕廊东,Yùláng Dōng,ஜூரோங் கிழக்கு,West,17.83,76390,4400
Jurong West,Jurong Barat,裕廊西,Yùláng Xī,ஜூரோங் மேற்கு,West,14.69,258240,18000
Kallang,*,加冷,Jiālěng,காலாங்,Central,9.17,100520,11000
Lim Chu Kang,,林厝港,Lín Cuògǎng,லிம் சூ காங்,North,17.3,90,5.2
Mandai,*,万礼,Wànlǐ,மண்டாய்,North,11.77,2090,180.2
Marina East,Marina Timur,滨海东,Bīnhǎi Dōng,மெரினா கிழக்கு,Central,1.82,*,*
Marina South,Marina Selatan,滨海南,Bīnhǎi Nán,மெரினா தென்,Central,1.62,*,*
Marine Parade,,马林百列,Mǎlín Bǎiliè,மரின் பரேட்,Central,6.12,45850,8000
Museum,Muzium,博物馆,Bówùguǎn,அருங்காட்சியகம்,Central,0.83,630,480
Newton,,纽顿,Niǔdùn,நியூட்டன்,Central,2.07,9030,3800
North-Eastern Islands,Kepulauan Timur Laut,东北群岛,Dōngběi Qúndǎo,வடகிழக்கு தீவுகள்,North-East,42.88,40,1.2
Novena,,诺维娜,Nuòwéinà,நொவீனா,Central,8.98,50580,5600
Orchard,,乌节,Wūjié,ஆர்ச்சர்ட்,Central,0.96,1090,960.3
Outram,,欧南,Ōunán,ஊட்ரம்,Central,1.37,17460,13500
Pasir Ris,*,巴西立,Bāxīlì,பாசிர் ரிஸ்,East,15.02,145990,9600
Paya Lebar,*,巴耶利峇,Bāyé Lìbā,பாய லேபார்,East,11.69,30,3.4
Pioneer,,先驱,Xiānqū,பயனியர்,West,12.1,50,8.3
Punggol,*,榜鹅,Bǎng'é,பொங்கோல்,North-East,9.34,185810,17800
Queenstown,,女皇镇,Nǚhuángzhèn,குவீன்ஸ்டவுன்,Central,20.43,96730,4400
River Valley,,里峇峇利,Lǐbā Bālì,நதி பள்ளத்தாக்கு,Central,1.48,11250,6800
Rochor,,梧槽,Wúcáo,ரோச்சோர்,Central,1.62,12930,8300
Seletar,*,实里达,Shílǐdá,சிலேத்தார்,North-East,10.25,300,26.3
Sembawang,*,三巴旺,Sānbāwàng,செம்பவாங்,North,12.34,108220,8400
Sengkang,,盛港,Shènggǎng,செங்காங்,North-East,10.59,252730,23000
Serangoon,*,实龙岗,Shílónggǎng,சிராங்கூன்,North-East,10.1,117910,11500
Simpang,*,新邦,Xīnbāng,சிம்பாங்,North,5.13,*,*
Singapore River,Sungai Singapura,新加坡河,Xīnjiāpō Hé,சிங்கப்பூர் நதி,Central,0.96,3740,3000
Southern Islands,Kepulauan Selatan,南部群岛,Nánbù Qúndǎo,தெற்கு தீவுகள்,Central,6.07,2220,244
Straits View,Pemandangan Selat,海峡景,Hǎixiájǐng,ஸ்ட்ரெய்ட்ஸ் காண்க,Central,0.77,*,*
Sungei Kadut,Sungai Kadut,双溪加株,Shuāngxī Jiāzhū,சுங்கை காடுட்,North,15.99,740,53.2
Tampines,*,淡滨尼,Dànbīnní,தெம்பினிஸ்,East,20.89,265340,12400
Tanglin,,东陵,Dōnglíng,டங்லின்,Central,7.63,22970,2800
Tengah,*,登加,Dēngjiā,தெங்கா,West,7.4,10,1.4
Toa Payoh,,大巴窑,Dàbāyáo,தோ பாயோ,Central,8.17,128450,14300
Tuas,*,大士,Dàshì,துவாஸ்,West,30.04,40,2.3
Western Islands,Kepulauan Barat,西部群岛,Xībù Qúndǎo,மேற்கத்திய தீவுகள்,West,39.47,10,0.25
Western Water Catchment,Kawasan Tadahan Air Barat,西部集水区,Xībù Jíshuǐqū,மேற்கத்திய நீர் நீர்ப்பிடிப்பு,West,69.46,610,13
Woodlands,,兀兰,Wùlán,ஊட்லண்ட்ஸ்,North,13.59,252190,18700
Yishun,,义顺,Yìshùn,யீஷூன்,North,21.24,222580,10100
